date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:31:58	24/24	---M--	200	added ('OK')	text/plain	date:Thu,%2025%20Dec%202014%2006:47:26%20GMT	https://www.tutorialcup.com/robots.txt		(from )
00:31:59	94803/94803	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:03%20GMT	https://www.tutorialcup.com/dbms/	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/index.html	(from )
00:32:01	67776/67776	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Feb%202016%2011:31:57%20GMT	https://www.tutorialcup.com/assets/syle.min.css	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/assets/syle.min.css	(from https://www.tutorialcup.com/dbms/)
00:32:01	604/604	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:06%20GMT	https://www.tutorialcup.com/assets/desert.css	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/assets/desert.html	(from https://www.tutorialcup.com/dbms/)
00:32:02	139104/139104	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Feb%202016%2014:51:13%20GMT	https://www.tutorialcup.com/assets/button.css	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/assets/button.css	(from https://www.tutorialcup.com/dbms/)
00:32:02	18037/18037	---M--	200	added ('OK')	application/javascript	date:Thu,%2019%20May%202016%2002:50:28%20GMT	https://www.tutorialcup.com/run_prettify.js?autoload=true&skin=desert&lang=css	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/run_prettify5442.js	(from https://www.tutorialcup.com/dbms/)
00:32:03	604/604	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:07%20GMT	https://www.tutorialcup.com/dbms/POST	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/POST.html	(from https://www.tutorialcup.com/dbms/)
00:32:08	96555/96555	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:08%20GMT	https://www.tutorialcup.com/dbms/db-characteristics.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/db-characteristics.html	(from https://www.tutorialcup.com/dbms/)
00:32:09	95997/95997	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:09%20GMT	https://www.tutorialcup.com/dbms/data-independence.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/data-independence.html	(from https://www.tutorialcup.com/dbms/)
00:32:09	94111/94111	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:10%20GMT	https://www.tutorialcup.com/dbms/components-of-database.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/components-of-database.html	(from https://www.tutorialcup.com/dbms/)
00:32:10	68381/68381	---MC-	200	added ('OK')	text/javascript	date:Fri,%2012%20Jan%202018%2018:32:06%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://www.tutorialcup.com/dbms/)
00:32:12	98126/98126	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:15%20GMT	https://www.tutorialcup.com/dbms/architecture-of-database.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/architecture-of-database.html	(from https://www.tutorialcup.com/dbms/)
00:32:13	97350/97350	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:17%20GMT	https://www.tutorialcup.com/dbms/structure-of-dbms.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/structure-of-dbms.html	(from https://www.tutorialcup.com/dbms/)
